name,stars,text,timeSince,openStatus,key
Misty Schachter,5.0,Good service good food I like that you can pick as many toppings as you want hey my favorite pizza places to eat,a year ago,Open,209
Fransheska Romero,5.0,I just love this Blaze pizza... $5 hack is great for people who don't eat the whole pizza and their blood orange lemonade is the best!,2 years ago,Open,209
ROY Valentine,4.0,Surprised me with what I thought it was going to be from the set up. But I took the pizza to go and It didn't make it out of the parking lot! Very good pizza!  the staff was very friendly and helpful. Its not the way I'm used to getting a …More,3 years ago,Open,209
Alex Beauchamp,5.0,This pizza is the best you are gonna get for the price! The build your own option let's you put as many toppings as you can fit for like 9 bucks and change. Definitely coming back again,3 years ago,Open,209
tony lawler,5.0,"Fresh ingredients and superb service and reasonable prices keep me coming back every Friday night.
The atmosphere is great too! …More",3 years ago,Open,209
Christopher Clarke,5.0,"Incredible personal pizza a'la Subway build your own sub production methods
Yum",a year ago,Open,209
Arman Hovhannisyan,3.0,"Customizable pizza, great variety of chices but poor hygiene",a year ago,Open,209
Pranava Mateti,5.0,Freshly baked amazing pizza for reasonable cost,a year ago,Open,209
Ashley Jones,5.0,My son was very happy he at the whole pizza lol,a year ago,Open,209
Mel O,5.0,Fast and tasty pizza with aaaaaaaall the toppings!,a year ago,Open,209
Christian Castillo,5.0,Good food and good price,a year ago,Open,209
Janett Chloe Nevarez,1.0,"Usually great pizza, but their delivery service is a big fail. Took over an hour to deliver two pizzas that are 3 min away from this location, by a third party that is probably also responsible for doing a terrible job (Doordash) When …More",a year ago,Open,209
Steven Garrett,3.0,Usually quick. Some employees are so sweet. Others not as much. And they seem to be uninterested in certain orders if it’s not something they want to make.,2 years ago,Open,209
Le'Andre LNR,5.0,I can't believe you can put that much toppings on one piece de and get away with it at one price for all. I made the largest pizza with so many toppings on it and it was so delicious and healthy.,a year ago,Open,209
Cormack McKinney,5.0,"This place is usually busy around lunch and dinner hours, but that's because it has great tasting customizable pizzas for a great price! Service is fast once you offer, and the pizzas are fresh. (And when problems arise, they have never hesitated in compensating me with a free pizza!) They truly care about their customers.",3 years ago,Open,209
Nicolle Spann,5.0,"This is a great Blaze pizza. Personally, I like Blaze more than Pieology. Parking is pretty good considering it is on Colorado Blvd. I've never had a problem finding a spot on the street.",2 years ago,Open,209
happysmash27,5.0,Great pizza and great vegan options!,a year ago,Open,209
Scott Bell,5.0,"Great personal pizzas made to order. Fast and good prices, great for lunch or a quick bite... also super tasty lemonades.",a year ago,Open,209
Bianca Moreno,5.0,"I have never been to a pizza place with a fresh variety of toppings. I love blue cheese. So to see a pizza with blue cheese as a topping, I died! Awesome!",2 years ago,Open,209
Tom Davis,3.0,"Overpriced ""build your own"" assemblyline pizza. Busy joint nonetheless, more than a few people get it.",2 years ago,Open,209
Yo Oshima,4.0,"It's a cool concept, inexpensive, and delicious. I liked it so much that I went to this place 3 times a week for a while. Now I'm totally sick of it. Too much of good stuff is not good for you.",4 years ago,Open,209
Curt Dolinsky,1.0,"Confusing and rushed service. No clear menu instructions. Food OK, but not great.",a year ago,Open,209
